t(s),solute flux surface 6 (H s-1)
0.07536896999208745,-19926347529.376617
0.07586896999208745,-19891964341.4947
0.07636896999208745,-19858132613.504257
0.07686896999208745,-19824842258.74878
0.07736896999208745,-19792083419.26152
0.07786896999208745,-19759846458.85659
0.07836896999208745,-19728121956.494194
0.07886896999208745,-19696900699.907463
0.07936896999208745,-19666173679.477856
0.07986896999208745,-19635932082.347645
0.08036896999208745,-19606167286.757797
0.08086896999208745,-19576870856.601196
0.08136896999208745,-19548034536.18059
0.08186896999208745,-19519650245.162125
0.08236896999208745,-19491710073.71507
0.08286896999208745,-19464206277.83028
0.08336896999208745,-19437131274.80729
0.08386896999208746,-19410477638.90479
0.08436896999208746,-19384238097.14509
0.08486896999208746,-19358405525.267147
0.08536896999208746,-19332972943.82092
0.08586896999208746,-19307933514.39708
0.08636896999208746,-19283280535.985996
0.08686896999208746,-19259007441.460827
0.08736896999208746,-19235107794.178875
0.08786896999208746,-19211575284.69666
0.08836896999208746,-19188403727.593403
0.08886896999208746,-19165587058.39903
0.08936896999208746,-19143119330.621773
0.08986896999208746,-19120994712.871613
0.09036896999208746,-19099207486.075336
0.09086896999208746,-19077752040.780106
0.09136896999208746,-19056622874.540997
0.09186896999208746,-19035814589.390026
0.09236896999208746,-19015321889.383266
0.09286896999208746,-18995139578.22245
0.09336896999208746,-18975262556.948906
0.09386896999208746,-18955685821.70656
0.09436896999208746,-18936404461.571217
0.09486896999208747,-18917413656.444386
0.09536896999208747,-18898708675.007984
0.09586896999208747,-18880284872.739174
0.09636896999208747,-18862137689.981365
0.09686896999208747,-18844262650.071033
0.09736896999208747,-18826655357.51674
0.09786896999208747,-18809311496.22983
0.09836896999208747,-18792226827.80397
0.09886896999208747,-18775397189.842285
0.09936896999208747,-18758818494.33013
0.09986896999208747,-18742486726.05267
0.1,-18738224531.746555
